City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.53,20.04,44.6,87,48,9.17,ZA,1601176563
Punta Arenas,-53.15,-70.92,37.4,86,75,19.46,CL,1601176330
Koróni,36.8,21.95,68.0,93,40,6.17,GR,1601176564
Flin Flon,54.77,-101.86,48.83,80,98,9.22,CA,1601176564
Kaitangata,-46.28,169.85,45.0,62,93,15.01,NZ,1601176315
Kamaishi,39.27,141.88,60.8,87,75,1.12,JP,1601176565
Calvià,39.57,2.51,73.4,53,29,10.29,ES,1601176565
Kavieng,-2.57,150.8,83.66,79,94,11.54,PG,1601176565
Albertville,34.27,-86.21,64.99,88,75,2.19,US,1601176373
Mahébourg,-20.41,57.7,69.8,77,75,6.93,MU,1601176566
Ushuaia,-54.8,-68.3,35.6,93,40,13.87,AR,1601176038
Tual,-5.67,132.75,80.42,83,53,15.12,ID,1601176566
Thompson,55.74,-97.86,44.6,100,90,8.05,CA,1601176567
Hasaki,35.73,140.83,72.0,94,75,6.93,JP,1601176472
Barrow,71.29,-156.79,32.0,96,90,6.93,US,1601176324
Chokurdakh,70.63,147.92,45.82,55,28,12.91,RU,1601176360
Plettenberg Bay,-34.05,23.37,47.43,74,15,8.16,ZA,1601176568
Tiksi,71.69,128.87,42.28,79,100,4.34,RU,1601176337
Mar del Plata,-38.0,-57.56,54.0,100,90,6.93,AR,1601176568
Castro,-24.79,-50.01,65.64,50,0,3.8,BR,1601176390
Nemuro,43.32,145.57,57.2,93,75,12.75,JP,1601176391
Kununurra,-15.77,128.73,93.2,44,31,6.93,AU,1601176242
Mozarlândia,-14.74,-50.57,81.23,40,0,4.36,BR,1601176569
Bethel,41.37,-73.41,66.99,93,90,3.36,US,1601176344
Casambalangan,18.38,122.13,86.81,67,100,4.56,PH,1601176570
Ambon City,-3.7,128.18,86.0,70,75,6.93,ID,1601176487
Cap-aux-Meules,47.38,-61.86,60.8,77,40,17.22,CA,1601176571
Cape Town,-33.93,18.42,48.99,81,75,6.93,ZA,1601176332
Warwick,41.7,-71.42,66.99,88,90,5.82,US,1601176497
Mataura,-46.19,168.86,46.0,70,93,18.99,NZ,1601176571
Ilulissat,69.22,-51.1,32.0,95,100,6.93,GL,1601176572
Puerto Ayora,-0.74,-90.35,68.0,87,20,4.0,EC,1601176353
Albany,42.6,-73.97,69.01,96,0,5.32,US,1601176572
Roscommon,53.63,-8.18,37.0,98,33,4.0,IE,1601176572
Mariana,-20.38,-43.42,65.28,62,0,3.11,BR,1601176573
Saint George,37.1,-113.58,82.4,11,1,5.82,US,1601176505
Hobart,-42.88,147.33,53.01,43,40,17.22,AU,1601176330
Zigong,29.34,104.78,66.13,93,100,1.34,CN,1601176282
Bluff,-46.6,168.33,46.0,72,78,21.0,NZ,1601176343
Avarua,-21.21,-159.78,75.2,73,86,11.41,CK,1601176346
Butaritari,3.07,172.79,82.72,72,98,10.76,KI,1601176574
Hamilton,39.18,-84.53,68.0,93,1,7.25,US,1601176460
Vaini,-21.2,-175.2,78.8,69,20,11.41,TO,1601176574
Atuona,-9.8,-139.03,78.44,71,1,12.33,PF,1601176575
Río Gallegos,-51.62,-69.22,42.8,70,95,8.05,AR,1601176575
Los Llanos de Aridane,28.66,-17.92,75.2,69,90,17.22,ES,1601176576
São Gabriel da Cachoeira,-0.13,-67.09,73.78,93,13,1.66,BR,1601176576
Opuwo,-18.06,13.84,57.13,36,0,4.5,NA,1601176577
Busselton,-33.65,115.33,60.01,86,99,1.99,AU,1601176341
Faanui,-16.48,-151.75,79.09,80,62,14.14,PF,1601176578
Santana do Acaraú,-3.46,-40.21,72.72,87,3,4.03,BR,1601176578
Rongcheng,30.63,117.85,73.99,90,94,6.89,CN,1601176579
Rikitea,-23.12,-134.97,74.46,83,4,12.28,PF,1601176579
Manga,11.66,-1.07,73.9,92,100,6.73,BF,1601176580
Alice Springs,-23.7,133.88,77.0,14,9,11.41,AU,1601176580
Port Alfred,-33.59,26.89,51.57,66,11,16.2,ZA,1601176317
Manali,13.17,80.27,82.4,88,75,3.36,IN,1601176580
Esperance,-33.87,121.9,62.6,72,35,12.75,AU,1601176581
Saint Paul Harbor,57.79,-152.41,51.8,62,1,8.05,US,1601176581
Constitución,-35.33,-72.42,48.45,80,0,8.19,CL,1601176581
Niles,42.02,-87.8,77.0,47,90,19.46,US,1601176295
Morros,-9.45,-46.3,76.26,41,73,1.3,BR,1601176582
Cap Malheureux,-19.98,57.61,70.0,79,45,5.99,MU,1601176582
Viedma,-40.81,-63.0,50.0,79,100,1.99,AR,1601176583
Kyzyl-Mazhalyk,51.13,90.6,43.81,57,7,1.34,RU,1601176583
Yeppoon,-23.13,150.73,80.6,19,0,6.93,AU,1601176584
George Town,5.41,100.34,78.8,74,20,5.82,MY,1601176584
Guadalupe y Calvo,26.1,-106.97,54.75,90,18,2.64,MX,1601176584
Mora,11.05,14.14,75.65,73,100,2.62,CM,1601176585
Dikson,73.51,80.55,37.98,78,100,21.94,RU,1601176335
Caconda,-13.73,15.07,53.8,91,5,4.16,AO,1601176585
Kieta,-6.22,155.63,81.27,73,100,3.02,PG,1601176585
Hermanus,-34.42,19.23,44.01,94,82,1.01,ZA,1601176586
Blagoyevo,63.37,47.92,51.03,93,95,5.79,RU,1601176586
Anchorage,61.22,-149.9,53.6,66,20,1.88,US,1601176515
Padang,-0.95,100.35,76.86,76,100,3.31,ID,1601176451
Ulkan,57.24,107.32,44.67,76,100,9.24,RU,1601176587
Sobolevo,54.43,31.9,54.5,61,0,13.69,RU,1601176587
At-Bashi,41.17,75.81,49.77,44,97,1.61,KG,1601176588
Port Hedland,-20.32,118.57,93.2,20,0,5.82,AU,1601176588
Kapaa,22.08,-159.32,84.2,62,40,11.41,US,1601176318
Lompoc,34.64,-120.46,60.8,82,1,8.05,US,1601176527
Vostok,46.49,135.88,56.48,48,0,5.57,RU,1601176589
Nishihara,26.18,127.76,77.0,78,90,8.05,JP,1601176589
Tasiilaq,65.61,-37.64,34.61,90,100,2.62,GL,1601176590
Jamestown,42.1,-79.24,64.0,82,1,10.29,US,1601176590
Domoni,-12.26,44.53,74.77,79,29,9.78,KM,1601176590
Hilo,19.73,-155.09,82.4,61,75,8.05,US,1601176510
San Cristobal,7.77,-72.22,65.57,80,55,1.57,VE,1601176454
Fairbanks,64.84,-147.72,55.4,58,1,4.7,US,1601176365
Yellowknife,62.46,-114.35,43.0,93,90,2.24,CA,1601176342
Inírida,3.87,-67.92,73.56,97,100,2.06,CO,1601176591
Aykhal,66.0,111.5,33.8,72,90,6.71,RU,1601176592
Jiamusi,46.83,130.35,65.21,58,2,5.86,CN,1601176592
San Patricio,19.22,-104.7,79.97,79,37,0.25,MX,1601176380
Kruisfontein,-34.0,24.73,48.0,74,0,1.01,ZA,1601176593
Cidreira,-30.18,-50.21,64.81,93,91,22.26,BR,1601176487
Atar,20.52,-13.05,91.06,22,0,13.58,MR,1601176344
Singapore,1.29,103.85,84.2,83,75,8.05,SG,1601176294
Khatanga,71.97,102.5,43.48,91,100,15.68,RU,1601176359
Río Tercero,-32.17,-64.11,48.99,91,0,16.11,AR,1601176594
Aklavik,68.22,-135.01,33.8,84,90,6.93,CA,1601176594
Paka,4.64,103.44,77.0,88,40,2.24,MY,1601176595
Huarmey,-10.07,-78.15,61.34,84,34,9.01,PE,1601176595
Nome,64.5,-165.41,42.8,41,1,5.82,US,1601176327
Provideniya,64.38,-173.3,36.77,75,49,8.59,RU,1601176596
Sitka,57.05,-135.33,53.6,76,75,12.75,US,1601176391
Conway,35.09,-92.44,64.99,93,90,4.7,US,1601176512
Bethanien,-26.5,17.16,36.77,82,0,2.1,NA,1601176596
Saint-Philippe,-21.36,55.77,69.8,49,39,8.05,RE,1601176320
Qaanaaq,77.48,-69.36,12.65,76,91,5.77,GL,1601176341
San Policarpo,12.18,125.51,85.71,71,26,9.37,PH,1601176597
Pangnirtung,66.15,-65.71,31.91,91,76,2.3,CA,1601176597
Chui,-33.7,-53.46,59.54,93,100,6.93,UY,1601176339
Ribeira Grande,38.52,-28.7,70.38,88,66,14.74,PT,1601176314
Iqaluit,63.75,-68.51,28.4,79,75,6.93,CA,1601176598
Laja,-37.27,-72.7,46.4,93,1,2.24,CL,1601176598
San,13.3,-4.9,77.95,74,100,8.03,ML,1601176502
Saint-Louis,16.33,-15.0,82.4,88,55,4.7,SN,1601176599
Ballina,-28.87,153.57,75.0,34,0,14.99,AU,1601176599
Bengkulu,-3.8,102.27,82.54,69,93,7.65,ID,1601176379
Constantine,36.37,6.61,53.6,71,24,6.93,DZ,1601176600
Palu,-0.89,119.87,90.07,52,91,1.97,ID,1601176369
Necochea,-38.55,-58.74,53.01,99,100,5.01,AR,1601176363
Palmer,42.16,-72.33,66.99,88,40,3.36,US,1601176600
Lüderitz,-26.65,15.16,52.0,68,0,20.2,NA,1601176340
Hithadhoo,-0.6,73.08,82.54,67,84,3.51,MV,1601176319
Lata,40.16,-8.33,64.0,91,99,3.0,PT,1601176601
